antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'avocado'}),frozenset({'mineral water'}),0.0332,0.23826666666666665,0.011466666666666667,0.3453815261044177,1.449558727354859,0.003556213333333334,1.163629447852761
frozenset({'mineral water'}),frozenset({'avocado'}),0.23826666666666665,0.0332,0.011466666666666667,0.04812534974818131,1.449558727354859,0.003556213333333334,1.0156799529688418
frozenset({'cake'}),frozenset({'burgers'}),0.08106666666666666,0.0872,0.011466666666666667,0.14144736842105263,1.6221028488652824,0.004397653333333334,1.063184674329502
frozenset({'burgers'}),frozenset({'cake'}),0.0872,0.08106666666666666,0.011466666666666667,0.13149847094801223,1.6221028488652824,0.004397653333333334,1.058067605633803
frozenset({'chocolate'}),frozenset({'burgers'}),0.16386666666666666,0.0872,0.017066666666666667,0.10414971521562247,1.194377468069065,0.0027774933333333356,1.0189202543142597
frozenset({'burgers'}),frozenset({'chocolate'}),0.0872,0.16386666666666666,0.017066666666666667,0.19571865443425077,1.1943774680690649,0.0027774933333333356,1.039603041825095
frozenset({'eggs'}),frozenset({'burgers'}),0.17973333333333333,0.0872,0.0288,0.16023738872403562,1.8375847330738029,0.013127253333333332,1.086973851590106
frozenset({'burgers'}),frozenset({'eggs'}),0.0872,0.17973333333333333,0.0288,0.3302752293577982,1.837584733073803,0.013127253333333332,1.2247817351598174
frozenset({'french fries'}),frozenset({'burgers'}),0.17093333333333333,0.0872,0.022,0.12870514820592824,1.4759764702514706,0.007094613333333333,1.0476361683079678
frozenset({'burgers'}),frozenset({'french fries'}),0.0872,0.17093333333333333,0.022,0.25229357798165136,1.4759764702514706,0.007094613333333333,1.1088130879345601
frozenset({'frozen vegetables'}),frozenset({'burgers'}),0.09533333333333334,0.0872,0.010533333333333334,0.11048951048951049,1.2670815423109,0.0022202666666666666,1.026182389937107
frozenset({'burgers'}),frozenset({'frozen vegetables'}),0.0872,0.09533333333333334,0.010533333333333334,0.12079510703363915,1.2670815423109,0.0022202666666666666,1.0289599999999999
frozenset({'burgers'}),frozenset({'green tea'}),0.0872,0.132,0.017466666666666665,0.2003058103975535,1.5174682605875265,0.005956266666666665,1.085414913957935
frozenset({'green tea'}),frozenset({'burgers'}),0.132,0.0872,0.017466666666666665,0.13232323232323231,1.5174682605875265,0.005956266666666665,1.0520046565774157
frozenset({'ground beef'}),frozenset({'burgers'}),0.09826666666666667,0.0872,0.012,0.12211668928086838,1.4004207486338118,0.0034311466666666676,1.0397737248840804
frozenset({'burgers'}),frozenset({'ground beef'}),0.0872,0.09826666666666667,0.012,0.13761467889908258,1.4004207486338118,0.0034311466666666676,1.0456269503546098
frozenset({'milk'}),frozenset({'burgers'}),0.1296,0.0872,0.017866666666666666,0.13786008230452676,1.5809642466115454,0.0065655466666666665,1.0587608591885442
frozenset({'burgers'}),frozenset({'milk'}),0.0872,0.1296,0.017866666666666666,0.20489296636085627,1.5809642466115454,0.0065655466666666665,1.0946953846153846
frozenset({'mineral water'}),frozenset({'burgers'}),0.23826666666666665,0.0872,0.0244,0.10240626748740908,1.1743838014611132,0.0036231466666666705,1.0169411471321697
frozenset({'burgers'}),frozenset({'mineral water'}),0.0872,0.23826666666666665,0.0244,0.27981651376146793,1.1743838014611134,0.0036231466666666705,1.0576934182590234
frozenset({'pancakes'}),frozenset({'burgers'}),0.09506666666666666,0.0872,0.010533333333333334,0.11079943899018234,1.270635768236036,0.0022435200000000006,1.0265400630914827
frozenset({'burgers'}),frozenset({'pancakes'}),0.0872,0.09506666666666666,0.010533333333333334,0.12079510703363915,1.270635768236036,0.0022435200000000006,1.029263304347826
frozenset({'spaghetti'}),frozenset({'burgers'}),0.17413333333333333,0.0872,0.021466666666666665,0.1232771822358346,1.413729154080672,0.006282239999999998,1.0411500436681222
frozenset({'burgers'}),frozenset({'spaghetti'}),0.0872,0.17413333333333333,0.021466666666666665,0.24617737003058102,1.413729154080672,0.006282239999999998,1.0955716024340771
frozenset({'turkey'}),frozenset({'burgers'}),0.06253333333333333,0.0872,0.010666666666666666,0.17057569296375266,1.9561432679329434,0.00521376,1.1005223650385605
frozenset({'burgers'}),frozenset({'turkey'}),0.0872,0.06253333333333333,0.010666666666666666,0.12232415902140673,1.9561432679329436,0.00521376,1.0681240418118467
frozenset({'chocolate'}),frozenset({'cake'}),0.16386666666666666,0.08106666666666666,0.0136,0.08299430431244914,1.0237784249068562,0.0003158755555555566,1.002102099970423
frozenset({'cake'}),frozenset({'chocolate'}),0.08106666666666666,0.16386666666666666,0.0136,0.16776315789473684,1.0237784249068562,0.0003158755555555566,1.004681949934124
frozenset({'cake'}),frozenset({'eggs'}),0.08106666666666666,0.17973333333333333,0.019066666666666666,0.23519736842105263,1.3085906996720287,0.0044962844444444445,1.0725207168458781
frozenset({'eggs'}),frozenset({'cake'}),0.17973333333333333,0.08106666666666666,0.019066666666666666,0.10608308605341246,1.308590699672029,0.0044962844444444445,1.027985172890733
frozenset({'cake'}),frozenset({'french fries'}),0.08106666666666666,0.17093333333333333,0.017866666666666666,0.22039473684210528,1.2893607849577142,0.004009671111111113,1.0634441631504923
frozenset({'french fries'}),frozenset({'cake'}),0.17093333333333333,0.08106666666666666,0.017866666666666666,0.10452418096723869,1.2893607849577142,0.004009671111111113,1.0261955865272938
frozenset({'frozen vegetables'}),frozenset({'cake'}),0.09533333333333334,0.08106666666666666,0.010266666666666667,0.10769230769230768,1.3284412955465588,0.0025383111111111113,1.0298390804597701
frozenset({'cake'}),frozenset({'frozen vegetables'}),0.08106666666666666,0.09533333333333334,0.010266666666666667,0.12664473684210528,1.3284412955465588,0.0025383111111111113,1.0358518518518518
frozenset({'cake'}),frozenset({'green tea'}),0.08106666666666666,0.132,0.014133333333333333,0.1743421052631579,1.3207735247208932,0.003432533333333333,1.0512828685258966
frozenset({'green tea'}),frozenset({'cake'}),0.132,0.08106666666666666,0.014133333333333333,0.10707070707070707,1.3207735247208932,0.003432533333333333,1.0291221719457015
frozenset({'cake'}),frozenset({'milk'}),0.08106666666666666,0.1296,0.013333333333333334,0.16447368421052633,1.2690870695256662,0.002827093333333336,1.0417385826771655
frozenset({'milk'}),frozenset({'cake'}),0.1296,0.08106666666666666,0.013333333333333334,0.10288065843621401,1.2690870695256664,0.002827093333333336,1.0243155963302752
frozenset({'mineral water'}),frozenset({'cake'}),0.23826666666666665,0.08106666666666666,0.027466666666666667,0.1152770005595971,1.422002474008188,0.008151182222222223,1.0386678473539954
frozenset({'cake'}),frozenset({'mineral water'}),0.08106666666666666,0.23826666666666665,0.027466666666666667,0.33881578947368424,1.422002474008188,0.008151182222222223,1.1520742951907132
frozenset({'cake'}),frozenset({'pancakes'}),0.08106666666666666,0.09506666666666666,0.011866666666666666,0.14638157894736842,1.539778179670776,0.004159928888888889,1.0601145793192035
frozenset({'pancakes'}),frozenset({'cake'}),0.09506666666666666,0.08106666666666666,0.011866666666666666,0.12482468443197756,1.539778179670776,0.004159928888888889,1.0499991452991453
frozenset({'cake'}),frozenset({'spaghetti'}),0.08106666666666666,0.17413333333333333,0.018133333333333335,0.22368421052631582,1.2845571048601598,0.004016924444444446,1.0638282485875705
frozenset({'spaghetti'}),frozenset({'cake'}),0.17413333333333333,0.08106666666666666,0.018133333333333335,0.10413476263399694,1.2845571048601598,0.004016924444444446,1.0257495156695158
frozenset({'mineral water'}),frozenset({'cereals'}),0.23826666666666665,0.025733333333333334,0.010266666666666667,0.04308897593732513,1.674442070103308,0.004135271111111112,1.0181371539961013
frozenset({'cereals'}),frozenset({'mineral water'}),0.025733333333333334,0.23826666666666665,0.010266666666666667,0.3989637305699482,1.6744420701033083,0.004135271111111112,1.267366666666667
frozenset({'champagne'}),frozenset({'chocolate'}),0.0468,0.16386666666666666,0.0116,0.24786324786324784,1.5125910162525296,0.003931039999999999,1.1116772727272728
frozenset({'chocolate'}),frozenset({'champagne'}),0.16386666666666666,0.0468,0.0116,0.07078925956061839,1.5125910162525298,0.003931039999999999,1.0258168126094571
frozenset({'chicken'}),frozenset({'chocolate'}),0.06,0.16386666666666666,0.014666666666666666,0.24444444444444444,1.4917276918904259,0.004834666666666668,1.1066470588235295
